,baindi,bacode,baname,baid,usfirm
46514,A,72037,SALMON             G                    ,,0
46515,A,72038,SPAIRANI           M                    ,,0
46516,A,72039,MANDER             K                    ,,0
46517,A,72040,ROEHDER            M                    ,,0
46518,A,72041,SCHACHT            M                    ,,0
46519,A,72043,BROCK              D                    ,,0
46520,A,72044,PERRICONE          A                    ,,0
46521,A,72045,DICKENS            A                    ,,0
46522,A,72046,MORRIS             M                    ,,0
46523,A,72047,HIRA               F                    ,,1
46524,A,72048,YULE               M                    ,,1
46525,A,72049,LYNCH              D                    ,,1
46526,A,72050,MCTAGGART          P                    ,,1
46527,A,72051,BERNARD            P                    ,,1
46528,A,72051,BERNARD            P                    ,,0
46529,A,72052,MUSCATELLO         P                    ,,1
46530,A,72053,BUDZYNSKI          C                    ,,1
46531,A,72056,BONNET             C                    ,,1
46532,A,72056,BONNET             C                    ,,0
46533,A,72057,EISLER             E                    ,,1
46534,A,72058,TEAM               S                    ,,0
46535,A,72059,TEAM               P                    ,,0
46536,A,72060,BEAUVALET          L                    ,,0
46537,A,72061,TEAM               B                    ,,0
46538,A,72062,TEAM               E                    ,,0
46539,A,72063,SCHICKLING         M                    ,,0
46540,A,72064,TEAM               L                    ,,0
46541,A,72065,KUHRT              T                    ,,1
46542,A,72066,MCKENNA            S                    ,,1
46543,A,72066,MCKENNA            S                    ,,0
46544,A,72067,BIERNAT            J                    ,,1
46545,A,72068,TAKEYAMA           M                    ,,0
46546,A,72069,MCCOURT            T                    ,,1
46547,A,72069,MCCOURT            T                    ,,0
46548,A,72070,SUOZZO             P                    ,,0
46549,A,72071,PECOT              M                    ,,0
46550,A,72072,LOH                A                    ,,0
46551,A,72073,DAVIS              R                    ,,1
46552,A,72074,DWYER              C                    ,,1
46553,A,72075,MACCAGNO           P                    ,,1
46554,A,72076,SCOBEL             D                    ,,1
46555,A,72077,OSMENA             C                    ,,1
46556,A,72077,OSMENA             C                    ,,0
46557,A,72078,LANNI              B                    ,,1
46558,A,72079,KNUETTEL           F                    ,,1
46559,A,72080,MOORE              D                    ,,1
46560,A,72080,MOORE              D                    ,,0
46561,A,72081,THOMAS             A                    ,,0
46562,A,72082,ALEXANDER          J                    ,,0
46563,A,72083,UBYSZ              D                    ,,0
46564,A,72084,KYRIAN             O                    ,,0
46565,A,72085,AHONEN             P                    ,,0
46566,A,72086,WADE               G                    ,,1
46567,A,72087,WILLIAMS           A                    ,,1
46568,A,72088,TERRY              H                    ,,1
46569,A,72088,TERRY              H                    ,,0
46570,A,72090,HOROWITZ           K                    ,,1
46571,A,72090,HOROWITZ           K                    ,,0
46572,A,72091,ISAKOV             M                    ,,1
46573,A,72092,LEVY               B                    ,,1
46574,A,72093,MAIER              J                    ,,1
46575,A,72094,STEVENSON          R                    ,,1
46576,A,72095,KIM                J                    ,,0
46577,A,72096,CHOUNG             S                    ,,0
46578,A,72097,KIM                J                    ,,0
46579,A,72098,LEE                T                    ,,0
46580,A,72099,KOO                Z                    ,,0
46581,A,72100,KARTAWIDJAJA       H                    ,,0
46582,A,72101,CHANG              K                    ,,0
46583,A,72102,DUCHENE            D                    ,,1
46584,A,72102,DUCHENE            D                    ,,0
46585,A,72104,FOO                D                    ,,0
46586,A,72105,TSE                A                    ,,0
46587,A,72106,DARKATSH           S                    ,,1
46588,A,72107,FISCHER            C                    ,,1
46589,A,72108,HOUSER             L                    ,,1
46590,A,72109,LATULIPPE          A                    ,,1
46591,A,72110,MAILLIAN           M                    ,,1
46592,A,72112,ROLLYSON           J                    ,,1
46593,A,72113,TASDEMIR           J                    ,,1
46594,A,72114,MICHAEL WALKLEY    T                    ,,1
46595,A,72114,MICHAEL WALKLEY    T                    ,,0
46596,A,72114,WALKLEY            M                    ,,1
46597,A,72114,WALKLEY            M                    ,,0
46598,A,72115,DREHER             W                    ,,1
46599,A,72116,SHAW               J                    ,,1
46600,A,72117,HUTCHINSON         H                    ,,0
46601,A,72119,THIERRIN           M                    ,,0
46602,A,72120,HENDERSON          A                    ,,1
46603,A,72121,KARKHANIS          C                    ,,1
46604,A,72122,SZETO              J                    ,,0
46605,A,72123,KWAI               E                    ,,0
46606,A,72124,LAU                P                    ,,1
46607,A,72124,LAU                P                    ,,0
46608,A,72125,CHONG              R                    ,,0
46609,A,72126,FRANCESCHINI       V                    ,,0
46610,A,72127,ERNST              J                    ,,1
46611,A,72129,NG                 K                    ,,0
46612,A,72130,SHIN               S                    ,,0
46613,A,72133,BROWN              M                    ,,0
46614,A,72134,ARNOLD             C                    ,,0
46615,A,72135,BLOXHAM            M                    ,,1
46616,A,72136,KRIEGER            D                    ,,0
46617,A,72137,MEIBEYER           K                    ,,0
46618,A,72139,VIETS              A                    ,,0
46619,A,72140,KRIEGER/MEIBEYER                        ,,0
46620,A,72141,SANDER/VIETS                            ,,0
46621,A,72142,DE CLERCQ          F                    ,,1
46622,A,72143,THOLEMEIER         R                    ,,1
46623,A,72144,ARSENS             G                    ,,1
46624,A,72144,ARSENS             G                    ,,0
46625,A,72145,WAGNER             P                    ,,1
46626,A,72146,CHIN               S                    ,,0
46627,A,72147,LIN                E                    ,,0
46628,A,72148,TSENG              E                    ,,0
46629,A,72149,STEWART            K                    ,,0
46630,A,72150,STONE              A                    ,,0
46631,A,72151,DAMOIS-GIGNOUX/COM                      ,,0
46632,A,72152,FAITZ/ZAYED                             ,,0
46633,A,72153,CLINE/MORRIS                            ,,0
46634,A,72155,RIOU/BROCHET                            ,,0
46635,A,72156,ROBEQUAIN/MOUZON                        ,,0
46636,A,72157,BERLIOZ/MORRIS                          ,,0
46637,A,72158,GENIS              K                    ,,1
46638,A,72158,GENIS              K                    ,,0
46639,A,72159,BOSTROM/GENIS                           ,,0
46640,A,72160,MOUZON/ATTENBOROUG                      ,,0
46641,A,72161,GOUGET/LEBARS                           ,,1
46642,A,72161,GOUGET/LEBARS                           ,,0
46643,A,72162,LEOPOLD/GENIS                           ,,0
46644,A,72163,DAMINET            N                    ,,1
46645,A,72163,DAMINET            N                    ,,0
46646,A,72163,KUNZ               M                    ,,0
46647,A,72164,MAUGHAN            M                    ,,0
46648,A,72165,KHOO               G                    ,,0
46649,A,72166,VAN DEN BRUL       N                    ,,1
46650,A,72166,VAN DEN BRUL       N                    ,,0
46651,A,72167,KHOO/VAN_DEN_BRUL                       ,,0
46652,A,72168,ATTENBOROUGH/MCCLE                      ,,0
46653,A,72169,IRWIN              S                    ,,1
46654,A,72169,IRWIN              S                    ,,0
46655,A,72170,MCCLELLAN          R                    ,,0
46656,A,72171,SUCHET/ATTENBOROUG                      ,,0
46657,A,72173,SUCHET/O'REILLY                         ,,0
46658,A,72174,KEELE/HEERIBOUT                         ,,0
46659,A,72175,BATES              J                    ,,0
46660,A,72176,HOYMANN            G                    ,,0
46661,A,72177,RIGBY/MORRIS                            ,,0
46662,A,72178,BURBRIDGE          P                    ,,1
46663,A,72178,BURBRIDGE          P                    ,,0
46664,A,72179,TATHAM             C                    ,,0
46665,A,72181,BROWN              G                    ,,0
46666,A,72182,MILMORE            R                    ,,1
46667,A,72183,BAULT              T                    ,,1
46668,A,72184,REEVE/GENIS                             ,,0
46669,A,72185,SOTTANELLA         E                    ,,0
46670,A,72186,KEELE/SOTTANELLA                        ,,0
46671,A,72187,LANGEVIN           C                    ,,0
46672,A,72188,LECLERC/LANGEVIN                        ,,0
46673,A,72189,KASPAREK           A                    ,,0
46674,A,72189,KASPEREK           A                    ,,0
46675,A,72190,ESSKUCHEN          H                    ,,0
46676,A,72191,URBANKOVA          V                    ,,0
46677,A,72192,PETERC/DENOUAL                          ,,0
46678,A,72194,KANG               D                    ,,1
46679,A,72194,KANG               D                    ,,0
46680,A,72195,SHAH               V                    ,,1
46681,A,72196,CHENG              K                    ,,0
46682,A,72197,ROZEN/MESLAY                            ,,0
46683,A,72198,ROZEN/SUMAR                             ,,0
46684,A,72199,PATRY              D                    ,,1
46685,A,72199,PATRY              D                    ,,0
46686,A,72200,LAUVIN/PAJOT                            ,,0
46687,A,72201,LAUVIN/CHARRIERE                        ,,0
46688,A,72202,BERTHOMIEU/PATRY                        ,,0
46689,A,72203,EWENCZYK/SUMAR                          ,,0
46690,A,72204,LACROIX/AHMED                           ,,0
46691,A,72205,BEGONIN-MAURY/MESL                      ,,0
46692,A,72206,LOPEZ              E                    ,,0
46693,A,72207,POINSOT/LOPEZ                           ,,0
46694,A,72208,VASTRA/BOURNEL-HUE                      ,,0
46695,A,72209,GENDREAU/LACROIX                        ,,0
46696,A,72210,SUMAR/AHMED                             ,,0
46697,A,72211,SCHLATTER          S                    ,,0
46698,A,72212,VEJDOVSKY/SCHLATTE                      ,,0
46699,A,72213,LAURENS            D                    ,,0
46700,A,72214,OAKLEY             P                    ,,1
46701,A,72214,OAKLEY             P                    ,,0
46702,A,72215,PROUDLOVE          T                    ,,1
46703,A,72215,PROUDLOVE          T                    ,,0
46704,A,72216,BELL               J                    ,,0
46705,A,72217,LAMONT             M                    ,,0
46706,A,72218,JAMESON            A                    ,,0
46707,A,72219,SACK/VIETS                              ,,0
46708,A,72220,SCHAEFER           L                    ,,1
46709,A,72220,SCHAEFER           L                    ,,0
46710,A,72221,VISALAKSHI         C                    ,,0
46711,A,72222,FINKELSTEIN        K                    ,,1
46712,A,72223,ZAVERI             H                    ,,0
46713,A,72225,ABDEL-HADI         M                    ,,1
46714,A,72226,ISRAELI            R                    ,,0
46715,A,72229,AHMAD              A                    ,,1
46716,A,72234,BAILEY             K                    ,,1
46717,A,72235,BAKR               S                    ,,1
46718,A,72237,BASU               A                    ,,1
46719,A,72237,BASU               A                    ,,0
46720,A,72243,BOONZAAIER         H                    ,,0
46721,A,72245,BOWLER             B                    ,,1
46722,A,72247,BURNETT            A                    ,,1
46723,A,72247,BURNETT            A                    ,,0
46724,A,72251,CHAMP              N                    ,,0
46725,A,72255,COHEN              O                    ,,1
46726,A,72256,SIDARTO            V                    ,,0
46727,A,72257,CRAWFORD           W                    ,,1
46728,A,72257,CRAWFORD           W                    ,,0
46729,A,72265,DIONISIO           P                    ,,0
46730,A,72271,DWYER              O                    ,,1
46731,A,72271,DWYER              O                    ,,0
46732,A,72274,ELFNER             N                    ,,1
46733,A,72274,ELFNER             N                    ,,0
46734,A,72278,FAROOQI            F                    ,,1
46735,A,72278,FAROOQI            F                    ,,0
46736,A,72279,HUANG              M                    ,,0
46737,A,72280,KHAN               D                    ,,1
46738,A,72292,FOLEY              S                    ,,1
46739,A,72298,GARNICK            D                    ,,1
46740,A,72298,GARNICK            D                    ,,0
46741,A,72302,LAWS               A                    ,,1
46742,A,72302,LAWS               A                    ,,0
46743,A,72303,GREEN              K                    ,,1
46744,A,72304,SPIRIDELLIS        T                    ,,1
46745,A,72308,LEGG               B                    ,,1
46746,A,72310,GOTO               H                    ,,0
46747,A,72311,GOTOH              F                    ,,1
46748,A,72314,GREAVES            R                    ,,1
46749,A,72314,GREAVES            R                    ,,0
46750,A,72319,HOVIS              C                    ,,1
46751,A,72324,RAMSAY             D                    ,,1
46752,A,72324,RAMSAY             D                    ,,0
46753,A,72329,IRAWAN             H                    ,,0
46754,A,72331,SHERGILL           K                    ,,1
46755,A,72333,SHUTZE             A                    ,,1
46756,A,72333,SHUTZE             A                    ,,0
46757,A,72334,SMITH              S                    ,,1
46758,A,72338,STARICK            M                    ,,1
46759,A,72338,STARICK            M                    ,,0
46760,A,72339,STEEGERS           P                    ,,1
46761,A,72342,SWANSON            P                    ,,1
46762,A,72344,MAHAR              R                    ,,1
46763,A,72346,TOTH               J                    ,,1
46764,A,72346,TOTH               J                    ,,0
46765,A,72349,TSUNODA            R                    ,,1
46766,A,72349,TSUNODA            R                    ,,0
46767,A,72351,VERA               T                    ,,1
46768,A,72356,WHITTAKER          E                    ,,1
46769,A,72356,WHITTAKER          E                    ,,0
46770,A,72365,YOON               M                    ,,1
46771,A,72376,MA                 G                    ,,1
46772,A,72384,MCNALLY            P                    ,,0
46773,A,72391,MOYNIHAN           J                    ,,1
46774,A,72394,SWINDELL           C                    ,,1
46775,A,72397,NIXON              A                    ,,1
46776,A,72397,NIXON              A                    ,,0
46777,A,72399,NYBLOM             H                    ,,1
46778,A,72399,NYBLOM             H                    ,,0
46779,A,72404,ORRILL             G                    ,,1
46780,A,72407,PATERSON           A                    ,,1
46781,A,72418,ROMERO             I                    ,,1
46782,A,72421,SAACKE             P                    ,,1
46783,A,72427,SASAKI             F                    ,,1
46784,A,72427,SASAKI             F                    ,,0
46785,A,72431,FREY               P                    ,,0
46786,A,72432,BRIVADY/GANET                           ,,0
46787,A,72433,CHAPUT             C                    ,,0
46788,A,72434,BOUCHE             B                    ,,0
46789,A,72435,JONLET             C                    ,,0
46790,A,72436,VAN_TOMME          F                    ,,0
46791,A,72437,FRUYT              K                    ,,0
46792,A,72438,HOSTE              W                    ,,0
46793,A,72439,MALLY              R                    ,,1
46794,A,72440,IRIBARREN          M                    ,,1
46795,A,72441,TJANDINEGARA       V                    ,,0
46796,A,72442,HAZEM              M                    ,,0
46797,A,72443,DIAMOND            H                    ,,1
46798,A,72444,MCKEEVER           S                    ,,1
46799,A,72445,REBACK             B                    ,,1
46800,A,72445,REBACK             B                    ,,0
46801,A,72446,SHOPE              B                    ,,1
46802,A,72447,BACKER             M                    ,,1
46803,A,72448,RETLIN             C                    ,,1
46804,A,72448,RETLIN             C                    ,,0
46805,A,72450,SINACHAROEN        P                    ,,0
46806,A,72451,THORNTON           K                    ,,0
46807,A,72452,KING               H                    ,,0
46808,A,72453,PAK                J                    ,,1
46809,A,72454,BELLINI            H                    ,,1
46810,A,72455,HALLORAN           T                    ,,1
46811,A,72456,PITCHER            C                    ,,1
46812,A,72456,PITCHER            C                    ,,0
46813,A,72457,SIMS               A                    ,,1
46814,A,72458,FINLEY             C                    ,,1
46815,A,72459,ROWE               B                    ,,1
46816,A,72460,BROWN              B                    ,,1
46817,A,72461,MILLS/BROWN                             ,,1
46818,A,72462,MILLS/ROWE                              ,,1
46819,A,72463,ROWE/RIDGWAY                            ,,1
46820,A,72464,NEDERVEEN          M                    ,,1
46821,A,72464,NEDERVEEN          M                    ,,0
46822,A,72465,LARSON             J                    ,,1
46823,A,72466,GISH               S                    ,,1
46824,A,72466,GISH               S                    ,,0
46825,A,72469,KUMAR              H                    ,,1
46826,A,72477,MOODY              J                    ,,1
46827,A,72479,SNOW               J                    ,,1
46828,A,72481,RODIS              J                    ,,1
46829,A,72482,FAYE               L                    ,,1
46830,A,72483,HEIM               M                    ,,1
46831,A,72483,HEIM               M                    ,,0
46832,A,72484,EASTHOPE           J                    ,,0
46833,A,72485,PABST              M                    ,,0
46834,A,72486,SOROUR             C                    ,,0
46835,A,72487,KOEP               M                    ,,0
46836,A,72488,PATERSON           G                    ,,0
46837,A,72489,EARLAM             M                    ,,0
46838,A,72490,MAGUIRE            R                    ,,0
46839,A,72491,MACKIE             W                    ,,1
46840,A,72491,MACKIE             W                    ,,0
46841,A,72492,EDMUNDS            S                    ,,0
46842,A,72493,MAIN               G                    ,,0
46843,A,72494,VINCK              R                    ,,0
46844,A,72495,KOORN              B                    ,,0
46845,A,72496,KLIMASZEWSKA       E                    ,,0
46846,A,72497,HARTFORD           O                    ,,1
46847,A,72497,HARTFORD           O                    ,,0
46848,A,72498,ROSENFELD          M                    ,,1
46849,A,72498,ROSENFELD          M                    ,,0
46850,A,72499,HENDERSON          A                    ,,1
46851,A,72499,HENDERSON          A                    ,,0
46852,A,72500,BRADFORD           A                    ,,1
46853,A,72500,BRADFORD           A                    ,,0
46854,A,72501,VAN CLEAVE         J                    ,,1
46855,A,72502,COHEN              D                    ,,1
46856,A,72502,COHEN              D                    ,,0
46857,A,72503,HALPERN            J                    ,,1
46858,A,72504,MORLEY             K                    ,,1
46859,A,72505,LOGERFO            J                    ,,1
46860,A,72506,LYONS              Z                    ,,0
46861,A,72507,EILA               S                    ,,0
46862,A,72508,MASTERS            K                    ,,0
46863,A,72510,SOUTHWELL-KEELY    M                    ,,0
46864,A,72511,WONG               S                    ,,0
46865,A,72512,SURYADJI           H                    ,,1
46866,A,72512,SURYADJI           H                    ,,0
46867,A,72513,IP                 T                    ,,0
46868,A,72514,MCCREA             F                    ,,1
46869,A,72514,MCCREA             F                    ,,0
46870,A,72515,LIANI              T                    ,,1
46871,A,72515,LIANI              T                    ,,0
46872,A,72516,FLORES             K                    ,,1
46873,A,72518,YOON               L                    ,,0
46874,A,72519,RAMANAN            V                    ,,0
46875,A,72520,RHEE               J                    ,,0
46876,A,72521,LEE                J                    ,,0
46877,A,72522,LAI                F                    ,,0
46878,A,72523,ADER               J                    ,,1
46879,A,72523,ADER               J                    ,,0
46880,A,72524,REIK               R                    ,,1
46881,A,72525,ARIOWITSCH         T                    ,,0
46882,A,72526,DUNLEVY            A                    ,,1
46883,A,72527,LEE                A                    ,,1
46884,A,72528,VON PAUMGARTTEN    P                    ,,1
46885,A,72529,LUU                C                    ,,0
46886,A,72530,APFEL              E                    ,,1
46887,A,72531,BLENK              A                    ,,1
46888,A,72532,ASCHOFF            J                    ,,1
46889,A,72533,ME                 S                    ,,0
46890,A,72534,OLAUSSON           M                    ,,0
46891,A,72535,MOONG              C                    ,,1
46892,A,72535,MOONG              C                    ,,0
46893,A,72536,MOLIN              S                    ,,0
46894,A,72537,BARRETT            S                    ,,0
46895,A,72538,KNIGAWKA           A                    ,,1
46896,A,72538,KNIGAWKA           A                    ,,0
46897,A,72539,MOSESMANN          H                    ,,1
46898,A,72539,MOSESMANN          H                    ,,0
46899,A,72540,MERWITZ            G                    ,,1
46900,A,72541,NEWMAN             D                    ,,1
46901,A,72541,NEWMAN             D                    ,,0
46902,A,72545,USDIN              K                    ,,1
46903,A,72546,HUGHES             R                    ,,1
46904,A,72547,CHOI/GUPTA                              ,,0
46905,A,72549,DESAI/BAISIWALA                         ,,0
46906,A,72550,KIM/SHUPER                              ,,0
46907,A,72551,CHUGH              V                    ,,0
46908,A,72552,CHAN               J                    ,,0
46909,A,72553,TSE                K                    ,,1
46910,A,72553,TSE                K                    ,,0
46911,A,72554,CLARK              D                    ,,0
46912,A,72555,LIU                M                    ,,0
46913,A,72557,GANGAHAR           A                    ,,0
46914,A,72559,YOO                D                    ,,0
46915,A,72563,CHAN/KALRA                              ,,0
46916,A,72564,CHURCHOUSE/TSE                          ,,1
46917,A,72564,CHURCHOUSE/TSE                          ,,0
46918,A,72567,JAISING/GANGAHAR                        ,,0
46919,A,72568,KALRA/MUTREJA                           ,,0
46920,A,72569,MOH/LAI                                 ,,0
46921,A,72570,GRAS               L                    ,,0
46922,A,72571,STEEGERS           P                    ,,0
46923,A,72572,KANTAROVICH/FURDA                       ,,0
46924,A,72573,MACRAE/BARRETT                          ,,0
46925,A,72574,FURDA/BARRETT                           ,,0
46926,A,72575,SAUNDERS/FURDA                          ,,0
46927,A,72576,KLEIN              E                    ,,0
46928,A,72577,CURLEY             M                    ,,0
46929,A,72578,PURDY              M                    ,,0
46930,A,72579,HIX                K                    ,,1
46931,A,72581,REED               J                    ,,1
46932,A,72582,GILL               A                    ,,0
46933,A,72583,CHIA               A                    ,,0
46934,A,72583,LORENIUS           C                    ,,0
46935,A,72585,LAUBER             D                    ,,0
46936,A,72586,POULIN             G                    ,,1
46937,A,72586,POULIN             G                    ,,0
46938,A,72587,KLEBANOW           E                    ,,1
46939,A,72589,CHEN               O                    ,,1
46940,A,72590,COMNINELLIS        H                    ,,1
46941,A,72592,HUGEL              E                    ,,1
46942,A,72597,RAINERI            S                    ,,1
46943,A,72598,SIEGEL             J                    ,,1
46944,A,72600,SWEENEY            S                    ,,1
46945,A,72600,SWEENEY            S                    ,,0
46946,A,72601,SYLVESTER          M                    ,,1
46947,A,72603,L WORST            R                    ,,1
46948,A,72603,WORST              R                    ,,1
46949,A,72603,WORST              R                    ,,0
46950,A,72604,SEXTON             T                    ,,0
46951,A,72605,HAAS               E                    ,,0
46952,A,72606,SHIPMAN            B                    ,,1
46953,A,72607,MILLER-STIRLING    J                    ,,0
46954,A,72610,GATTASS            G                    ,,1
46955,A,72613,FINNEGAN           C                    ,,1
46956,A,72614,HAAS               L                    ,,1
46957,A,72616,PRAMANICK          S                    ,,1
46958,A,72616,PRAMANICK          S                    ,,0
46959,A,72617,PREIKSHAT          A                    ,,1
46960,A,72618,DIXON              B                    ,,1
46961,A,72618,DIXON              B                    ,,0
46962,A,72619,PHELAN             P                    ,,1
46963,A,72619,PHELAN             P                    ,,0
46964,A,72620,DE_VAUBLANC        A                    ,,0
46965,A,72621,FAITZ/SALIH                             ,,0
46966,A,72622,SOTTANELLA/KEELE                        ,,0
46967,A,72623,RICCIULLI          F                    ,,0
46968,A,72625,SCOTT-BURIAN/GREGO                      ,,0
46969,A,72626,LERMUSIAUX         J                    ,,0
46970,A,72627,RIGBY/CLINE                             ,,0
46971,A,72628,MOUZON/ROBEQUAIN                        ,,0
46972,A,72629,SMART              M                    ,,0
46973,A,72630,BROEKER            M                    ,,0
46974,A,72631,REED               N                    ,,0
46975,A,72632,COIFFET/GRANT                           ,,0
46976,A,72633,MCCLELLAN/NGUYEN                        ,,0
46977,A,72634,IRWIN/MCCLELLAN                         ,,0
46978,A,72635,BYDE               R                    ,,0
46979,A,72636,WATKINS            N                    ,,1
46980,A,72636,WATKINS            N                    ,,0
46981,A,72637,REDFERN            N                    ,,0
46982,A,72638,STEVENSON          J                    ,,0
46983,A,72639,MURPHY             C                    ,,1
46984,A,72640,DAVIS              S                    ,,1
46985,A,72640,DAVIS              S                    ,,0
46986,A,72642,GERSTEIN           A                    ,,1
46987,A,72642,GERSTEIN           A                    ,,0
46988,A,72643,BLANCO             L                    ,,1
46989,A,72643,BLANCO             L                    ,,0
46990,A,72646,MCNALLY            K                    ,,1
46991,A,72648,SMITH              D                    ,,1
46992,A,72648,SMITH              D                    ,,0
46993,A,72649,SPINGARN           R                    ,,1
46994,A,72650,STRIKER            M                    ,,1
46995,A,72652,GALLAGHER/BUNCE                         ,,0
46996,A,72653,MAROSTICA          M                    ,,1
46997,A,72654,MESSENGER          J                    ,,0
46998,A,72655,ANNUTSCH           S                    ,,0
46999,A,72656,KALUAG             R                    ,,0
47000,A,72657,MIGUEL             J                    ,,0
47001,A,72659,CERDENIA           G                    ,,0
47002,A,72660,BECK               R                    ,,1
47003,A,72660,BECK               R                    ,,0
47004,A,72661,ADLER              A                    ,,1
47005,A,72662,BAUML              A                    ,,1
47006,A,72666,FAZIO              L                    ,,1
47007,A,72668,FLEISCHER          I                    ,,1
47008,A,72671,MCGOWAN            T                    ,,1
47009,A,72672,MICENKO            J                    ,,1
47010,A,72676,SIMON              J                    ,,1
47011,A,72677,SNOWLING           M                    ,,1
47012,A,72678,RODGERS            A                    ,,1
47013,A,72679,MAC                D                    ,,1
47014,A,72682,NIGAM/GOKHALE                           ,,0
47015,A,72683,KWOK/CHAU                               ,,0
47016,A,72684,SHAH/SINGH                              ,,0
47017,A,72685,SHAH/GOKHALE                            ,,0
47018,A,72686,KUMAR/GROVER                            ,,0
47019,A,72687,SHAH/GROVER                             ,,0
47020,A,72688,RUSLI/NAQVI                             ,,0
47021,A,72689,GROVER             D                    ,,0
47022,A,72690,RUSLI              F                    ,,0
47023,A,72691,KIM                D                    ,,0
47024,A,72692,MILLER             H                    ,,0
47025,A,72693,LOUBOUTIN          C                    ,,0
47026,A,72694,GUELEN             D                    ,,0
47027,A,72697,MATHIS             J                    ,,1
47028,A,72699,ROY                N                    ,,1
47029,A,72702,WOODWARD           J                    ,,1
47030,A,72703,KWOK               V                    ,,0
47031,A,72704,TAN                R                    ,,0
47032,A,72705,AGAN               C                    ,,1
47033,A,72709,WEI-SIONG          L                    ,,1
47034,A,72709,WEI-SIONG          L                    ,,0
47035,A,72711,DE ZOYSA           D                    ,,1
47036,A,72712,DANELY             C                    ,,1
47037,A,72715,RAMSAY             G                    ,,0
47038,A,72716,TOWNSEND           R                    ,,0
47039,A,72717,COSTA              A                    ,,0
47040,A,72718,YEN                J                    ,,0
47041,A,72719,SOKULLU            N                    ,,0
47042,A,72720,KUTLU              H                    ,,0
47043,A,72721,AKGUN              A                    ,,0
47044,A,72722,YUCEL              D                    ,,0
47045,A,72723,TORE               E                    ,,0
47046,A,72724,OZEN               P                    ,,0
47047,A,72725,YUKSEL             M                    ,,0
47048,A,72726,TEKIN              T                    ,,0
47049,A,72727,OZMEN              H                    ,,0
47050,A,72728,UYSAL              E                    ,,0
47051,A,72729,FUJINO             M                    ,,1
47052,A,72729,FUJINO             M                    ,,0
47053,A,72730,PATHMAKANTHAN      A                    ,,0
47054,A,72731,OZGE               A                    ,,0
47055,A,72732,GOCMEN             I                    ,,0
47056,A,72733,AKASLAN            K                    ,,0
47057,A,72734,KURNAZ             V                    ,,0
47058,A,72736,FRASER             D                    ,,0
47059,A,72737,ONG                A                    ,,0
47060,A,72738,AHMAD              F                    ,,0
47061,A,72739,BUZULOIU           C                    ,,0
47062,A,72740,ZHANG              J                    ,,1
47063,A,72740,ZHANG              J                    ,,0
47064,A,72741,ADRIAN             S                    ,,1
47065,A,72741,ADRIAN             S                    ,,0
47066,A,72742,CAN                S                    ,,0
47067,A,72743,CATER              J                    ,,0
47068,A,72744,CORNELL            D                    ,,0
47069,A,72746,FLEURBAAIJ         A                    ,,1
47070,A,72746,FLEURBAAIJ         A                    ,,0
47071,A,72747,GARCIA             J                    ,,0
47072,A,72747,GARCIA DE PABLO    J                    ,,0
47073,A,72748,HIRTH              N                    ,,0
47074,A,72749,INSHUTIN           A                    ,,1
47075,A,72749,INSHUTIN           A                    ,,0
47076,A,72750,JIMENEZ            C                    ,,0
47077,A,72751,LOPEZ_DEL_RIO      P                    ,,0
47078,A,72752,OWEN               M                    ,,1
47079,A,72752,OWEN               M                    ,,0
47080,A,72753,SRIVASTAVA         M                    ,,0
47081,A,72754,QUIROGA            E                    ,,1
47082,A,72754,QUIROGA            E                    ,,0
47083,A,72755,WILLIAMS           D                    ,,1
47084,A,72755,WILLIAMS           D                    ,,0
47085,A,72756,DE_WINTON          W                    ,,0
47086,A,72757,LINDELL            L                    ,,1
47087,A,72758,SHEERA             N                    ,,1
47088,A,72758,SHEERA             N                    ,,0
47089,A,72759,MASTER             B                    ,,0
47090,A,72760,LOONG              L                    ,,0
47091,A,72763,YEO                B                    ,,1
47092,A,72765,WATERMAN           J                    ,,1
47093,A,72766,GENTLE             W                    ,,0
47094,A,72767,LAI                V                    ,,0
47095,A,72768,AUFFRET/STUL                            ,,0
47096,A,72769,HUON/DUHEN/LAPIERR                      ,,0
47097,A,72770,NOVELLI            M                    ,,0
47098,A,72771,D'HALLEINE         L                    ,,0
47099,A,72772,GRISTINA           F                    ,,1
47100,A,72773,MATUSCHKA          R                    ,,1
47101,A,72773,MATUSCHKA          R                    ,,0
47102,A,72774,DIXON              B                    ,,1
47103,A,72775,MIZRAKJIAN         A                    ,,1
47104,A,72777,KANAI                                   ,,0
47105,A,72778,WAKABAYASHI        H                    ,,0
47106,A,72779,TANIGUCHI                               ,,0
47107,A,72780,OHMORI             E                    ,,0
47108,A,72781,OHMI                                    ,,0
47109,A,72782,LAWRENCE           J                    ,,1
47110,A,72787,ANTOS              J                    ,,1
47111,A,72787,ANTOS              J                    ,,0
47112,A,72790,ZHANG              J                    ,,1
47113,A,72790,ZHANG              J                    ,,0
47114,A,72792,BYE                P                    ,,1
47115,A,72792,BYE                P                    ,,0
47116,A,72794,GOW                D                    ,,1
47117,A,72795,HYNES              A                    ,,1
47118,A,72796,KINKADE            C                    ,,1
47119,A,72798,LIGHTCAP           K                    ,,1
47120,A,72799,MEHROTRA           R                    ,,1
47121,A,72799,MEHROTRA           R                    ,,0
47122,A,72800,MICHELMORE         S                    ,,1
47123,A,72800,MICHELMORE         S                    ,,0
